Category: All categories

Region,Reputation  Taylor Swift album: (2019)
Nebraska,100
Massachusetts,73
Utah,57
Oklahoma,42
Ohio,38
Illinois,36
Virginia,35
Missouri,35
Colorado,35
Michigan,31
Connecticut,30
Pennsylvania,29
New York,28
Washington,26
Georgia,26
California,26
Indiana,25
Tennessee,24
Oregon,23
Texas,21
Nevada,20
Kentucky,20
North Carolina,20
Wisconsin,20
South Carolina,19
Maryland,18
Louisiana,16
New Jersey,11
Minnesota,10
Florida,8
South Dakota,
Wyoming,
Montana,
Idaho,
Alaska,
Alabama,
Arkansas,
Arizona,
District of Columbia,
Delaware,
Hawaii,
Iowa,
Kansas,
Maine,
Mississippi,
North Dakota,
New Hampshire,
New Mexico,
Rhode Island,
Vermont,
West Virginia,
