Category: All categories

Region,Fearless  Taylor Swift album: (2014)
South Carolina,100
Missouri,87
Michigan,78
Kentucky,71
Massachusetts,62
Minnesota,61
Indiana,57
New Jersey,53
North Carolina,52
Georgia,50
Iowa,48
Virginia,48
Illinois,46
Ohio,40
Florida,40
Pennsylvania,37
California,37
Wisconsin,37
Arizona,35
New York,31
Maryland,29
Texas,27
Tennessee,23
Washington,16
North Dakota,
District of Columbia,
South Dakota,
Arkansas,
Maine,
Hawaii,
Kansas,
Connecticut,
Mississippi,
Alaska,
Alabama,
Colorado,
Delaware,
Idaho,
Louisiana,
Montana,
Nebraska,
New Hampshire,
New Mexico,
Nevada,
Oklahoma,
Oregon,
Rhode Island,
Utah,
Vermont,
West Virginia,
Wyoming,
