Category: All categories

Region,1989  Taylor Swift album: (2014)
Utah,100
Kentucky,80
Massachusetts,78
New Jersey,77
Indiana,77
South Carolina,74
Connecticut,73
Ohio,72
Wisconsin,71
Missouri,70
Tennessee,70
Michigan,69
Pennsylvania,67
Virginia,63
Maryland,63
Iowa,63
North Carolina,62
Washington,60
Louisiana,58
Arizona,57
New York,57
Kansas,57
California,56
Minnesota,55
Illinois,55
Florida,50
Texas,49
Alabama,46
Georgia,46
Colorado,44
Oregon,38
Arkansas,
Maine,
New Mexico,
Wyoming,
District of Columbia,
West Virginia,
Mississippi,
South Dakota,
New Hampshire,
Oklahoma,
North Dakota,
Vermont,
Rhode Island,
Nebraska,
Nevada,
Hawaii,
Idaho,
Montana,
Delaware,
Alaska,
