Category: All categories

Region,Evermore  Taylor Swift album: (2021)
West Virginia,100
New Hampshire,82
Massachusetts,59
Wisconsin,59
Rhode Island,54
Maine,52
Utah,51
Oregon,45
Idaho,43
Connecticut,43
Pennsylvania,43
Oklahoma,41
Washington,40
Kansas,39
Ohio,36
Illinois,35
Minnesota,34
Missouri,31
Michigan,31
New Mexico,29
New York,27
Nebraska,26
Georgia,26
Florida,24
New Jersey,23
Kentucky,22
Texas,22
Colorado,21
Indiana,21
California,19
Maryland,19
Tennessee,18
Alabama,18
Louisiana,17
North Carolina,17
Virginia,17
Arizona,14
Nevada,13
Wyoming,
Alaska,
Arkansas,
District of Columbia,
Delaware,
Hawaii,
Iowa,
Mississippi,
Montana,
North Dakota,
South Carolina,
South Dakota,
Vermont,
