Category: All categories

Region,Fearless  Taylor Swift album: (2009)
Tennessee,100
Pennsylvania,93
Indiana,92
Ohio,89
Iowa,84
Michigan,77
Massachusetts,75
New Jersey,75
Utah,73
North Carolina,68
Kentucky,67
Wisconsin,66
Missouri,63
Maryland,61
Florida,59
Oregon,54
Illinois,53
Washington,51
Minnesota,50
South Carolina,50
Georgia,44
Texas,44
New York,43
Colorado,39
Alabama,33
Arizona,33
California,32
Virginia,23
Rhode Island,
Wyoming,
Vermont,
Louisiana,
Arkansas,
West Virginia,
Connecticut,
Mississippi,
Alaska,
New Mexico,
Kansas,
Maine,
New Hampshire,
Idaho,
District of Columbia,
Nevada,
Nebraska,
Oklahoma,
Delaware,
Hawaii,
Montana,
North Dakota,
South Dakota,
