Category: All categories

Region,Speak Now  Taylor Swift album: (2010)
Kentucky,100
Indiana,97
Michigan,90
Massachusetts,73
Pennsylvania,72
New Jersey,71
Ohio,71
Illinois,67
North Carolina,65
Georgia,63
Wisconsin,63
Minnesota,63
Tennessee,61
Missouri,59
Florida,59
Maryland,54
New York,53
Texas,52
Washington,50
Colorado,36
Virginia,34
California,28
Rhode Island,
Delaware,
New Hampshire,
West Virginia,
South Dakota,
Connecticut,
Louisiana,
North Dakota,
Nebraska,
Alabama,
Kansas,
Oregon,
South Carolina,
Utah,
Arkansas,
Wyoming,
District of Columbia,
Arizona,
Oklahoma,
Idaho,
Nevada,
Hawaii,
Iowa,
New Mexico,
Vermont,
Maine,
Alaska,
Mississippi,
Montana,
