Category: All categories

Region,Fearless  Taylor Swift album: (2023)
Kentucky,100
Iowa,96
Missouri,96
Utah,90
New Jersey,81
Indiana,81
Ohio,77
Pennsylvania,77
Wisconsin,75
Massachusetts,73
Tennessee,70
North Carolina,69
Minnesota,65
Illinois,65
South Carolina,65
Alabama,64
Michigan,58
Texas,58
New York,52
Arizona,52
Virginia,51
Colorado,51
California,49
Washington,49
Georgia,49
Florida,48
Maryland,36
Oregon,35
Vermont,
Rhode Island,
Nebraska,
Connecticut,
Idaho,
Oklahoma,
Arkansas,
Kansas,
West Virginia,
Maine,
North Dakota,
Louisiana,
District of Columbia,
Nevada,
South Dakota,
New Hampshire,
Mississippi,
Alaska,
Delaware,
Hawaii,
Montana,
New Mexico,
Wyoming,
