Category: All categories

Region,Evermore  Taylor Swift album: (2023)
Vermont,100
South Dakota,84
Delaware,47
Utah,47
Kentucky,45
Connecticut,41
New Jersey,36
Indiana,36
Idaho,36
Pennsylvania,35
Missouri,34
Nebraska,34
Massachusetts,33
District of Columbia,32
Ohio,31
Maine,31
Michigan,31
Alabama,30
Tennessee,30
Minnesota,29
Kansas,28
Illinois,27
Wisconsin,27
Arkansas,26
Oregon,26
South Carolina,26
Washington,25
Oklahoma,24
Virginia,24
Maryland,24
Nevada,24
Louisiana,24
Arizona,23
North Carolina,23
Texas,22
New Hampshire,21
Colorado,20
California,19
New York,19
Georgia,19
Florida,17
Mississippi,17
Montana,17
Rhode Island,17
Iowa,15
New Mexico,10
Alaska,
North Dakota,
Hawaii,
West Virginia,
Wyoming,
