Category: All categories

Region,Red  Taylor Swift album: (2015)
Kansas,100
Minnesota,99
Mississippi,85
Massachusetts,80
Utah,79
Rhode Island,73
North Carolina,71
Maryland,71
Kentucky,71
Iowa,67
New Jersey,67
South Carolina,66
Virginia,64
Michigan,64
Tennessee,64
Indiana,60
Wisconsin,59
Ohio,56
Missouri,55
Washington,55
Pennsylvania,54
Florida,53
Texas,52
New Hampshire,52
Louisiana,50
California,50
New York,47
Alabama,47
Arizona,46
Nevada,46
Nebraska,45
Georgia,44
Arkansas,43
Illinois,42
Colorado,39
District of Columbia,37
Oregon,35
Connecticut,27
Oklahoma,25
Vermont,
North Dakota,
Hawaii,
Montana,
Alaska,
New Mexico,
Delaware,
Idaho,
Maine,
South Dakota,
West Virginia,
Wyoming,
