Category: All categories

Region,Red  Taylor Swift album: (2017)
Idaho,100
Maine,60
Arkansas,52
Tennessee,42
Arizona,36
Pennsylvania,29
Virginia,29
Kentucky,29
Oklahoma,28
Ohio,28
Oregon,27
North Carolina,27
Massachusetts,24
Illinois,22
New Jersey,22
Nebraska,22
Connecticut,22
California,21
Texas,21
Minnesota,21
Washington,20
New York,20
Michigan,19
South Carolina,18
Indiana,18
Wisconsin,18
Alabama,17
Florida,17
Missouri,16
Georgia,14
Nevada,11
Alaska,
Colorado,
District of Columbia,
Delaware,
Hawaii,
Iowa,
Kansas,
Louisiana,
Maryland,
Mississippi,
Montana,
North Dakota,
New Hampshire,
New Mexico,
Rhode Island,
South Dakota,
Utah,
Vermont,
West Virginia,
Wyoming,
