Category: All categories

Region,Fearless  Taylor Swift album: (2016)
Iowa,100
Minnesota,81
Massachusetts,62
Wisconsin,57
Arizona,54
Indiana,54
Ohio,53
Texas,50
South Carolina,47
North Carolina,44
Washington,44
Virginia,42
New Jersey,42
Colorado,41
Utah,39
Missouri,38
California,34
Oregon,33
Illinois,32
Michigan,31
Maryland,30
Florida,21
Pennsylvania,19
New York,17
Delaware,
Rhode Island,
North Dakota,
West Virginia,
Mississippi,
Hawaii,
Idaho,
New Mexico,
Oklahoma,
Arkansas,
Connecticut,
Kansas,
Louisiana,
Alaska,
Alabama,
District of Columbia,
Georgia,
Kentucky,
Maine,
Montana,
Nebraska,
New Hampshire,
Nevada,
South Dakota,
Tennessee,
Vermont,
Wyoming,
