Category: All categories

Region,Red  Taylor Swift album: (2020)
Idaho,100
Kentucky,79
Oklahoma,55
Minnesota,49
Rhode Island,49
Massachusetts,43
District of Columbia,40
Utah,39
Nebraska,34
Mississippi,32
New Jersey,32
Missouri,31
Tennessee,31
Ohio,29
Washington,29
Colorado,28
Michigan,27
Indiana,27
Alabama,27
North Carolina,26
New Hampshire,25
Illinois,25
Arizona,24
New York,24
California,23
South Carolina,22
Maryland,20
Connecticut,20
Virginia,19
Pennsylvania,19
Iowa,18
Texas,17
Oregon,16
Georgia,15
Florida,15
Arkansas,15
Wisconsin,15
North Dakota,
Delaware,
West Virginia,
Alaska,
Hawaii,
Kansas,
Louisiana,
Maine,
Montana,
New Mexico,
Nevada,
South Dakota,
Vermont,
Wyoming,
