Category: All categories

Region,Folklore  Taylor Swift album: (2023)
Connecticut,100
Kentucky,93
Wisconsin,93
New Jersey,92
Pennsylvania,92
Massachusetts,89
Ohio,88
Tennessee,87
Indiana,82
Missouri,81
Illinois,75
Colorado,75
Michigan,73
Minnesota,72
Washington,71
Maryland,63
North Carolina,62
Texas,59
Virginia,55
California,54
South Carolina,52
New York,51
Georgia,49
Arizona,48
Florida,42
Louisiana,28
North Dakota,
Vermont,
Idaho,
Nebraska,
Delaware,
Maine,
Iowa,
Arkansas,
Utah,
Kansas,
Oklahoma,
Rhode Island,
New Hampshire,
Alabama,
Hawaii,
Nevada,
New Mexico,
West Virginia,
Mississippi,
Oregon,
Alaska,
District of Columbia,
Montana,
South Dakota,
Wyoming,
