Category: All categories

Region,Red  Taylor Swift album: (2018)
New Hampshire,100
Mississippi,87
Iowa,76
Rhode Island,59
Nebraska,55
Kentucky,54
Oregon,51
New York,51
Colorado,49
Connecticut,49
Oklahoma,49
Massachusetts,45
Arkansas,44
Pennsylvania,44
Kansas,41
Ohio,40
Tennessee,37
Michigan,36
Georgia,33
Maryland,31
Wisconsin,30
Texas,29
North Carolina,28
California,27
New Jersey,25
Arizona,24
Indiana,24
Alabama,22
Virginia,21
Illinois,14
Florida,14
North Dakota,
Alaska,
Vermont,
South Dakota,
Delaware,
District of Columbia,
Hawaii,
Idaho,
Louisiana,
Maine,
Minnesota,
Missouri,
Montana,
New Mexico,
Nevada,
South Carolina,
Utah,
Washington,
West Virginia,
Wyoming,
