Category: All categories

Region,Red  Taylor Swift album: (2012)
New Hampshire,100
Rhode Island,89
Maine,89
Kentucky,85
Indiana,80
Pennsylvania,79
Utah,79
Alabama,77
Iowa,75
Massachusetts,73
Michigan,71
Ohio,69
Idaho,68
Mississippi,68
New Jersey,67
Connecticut,67
South Carolina,65
Oklahoma,64
Nebraska,63
Wisconsin,63
Tennessee,62
Arizona,61
Kansas,59
Missouri,57
Virginia,55
North Carolina,53
Arkansas,51
Texas,51
New York,48
Maryland,48
Louisiana,47
Georgia,46
Minnesota,46
California,46
Florida,45
Illinois,45
Oregon,43
Washington,42
Colorado,40
District of Columbia,33
Nevada,31
Vermont,
Delaware,
West Virginia,
South Dakota,
Montana,
North Dakota,
New Mexico,
Wyoming,
Hawaii,
Alaska,
