Category: All categories

Region,Lover  Taylor Swift album: (2020)
Maine,100
District of Columbia,70
Kansas,69
Rhode Island,66
Massachusetts,50
Connecticut,49
Colorado,47
Minnesota,42
Utah,42
Ohio,41
Pennsylvania,39
Illinois,39
Idaho,38
Maryland,38
Michigan,35
Missouri,35
California,34
Kentucky,34
Iowa,34
Wisconsin,34
Indiana,33
Tennessee,33
Nebraska,30
Texas,29
New York,29
Nevada,29
Washington,29
Florida,29
Alabama,27
South Carolina,27
Georgia,24
North Carolina,23
Virginia,23
Hawaii,22
Oregon,22
Oklahoma,22
Arizona,22
New Jersey,18
Louisiana,16
Arkansas,16
Wyoming,
Vermont,
South Dakota,
North Dakota,
Mississippi,
New Mexico,
West Virginia,
Alaska,
Delaware,
Montana,
New Hampshire,
