Category: All categories

Region,1989  Taylor Swift album: (2018)
Kansas,100
Missouri,84
Colorado,72
Maryland,62
Massachusetts,58
Virginia,43
Georgia,42
Michigan,40
New York,40
Oregon,38
Illinois,36
Pennsylvania,35
Ohio,32
Kentucky,32
South Carolina,32
Minnesota,31
California,29
Florida,26
North Carolina,22
Arizona,18
Texas,13
New Jersey,13
Hawaii,
Alaska,
Alabama,
Arkansas,
Connecticut,
District of Columbia,
Delaware,
Iowa,
Idaho,
Indiana,
Louisiana,
Maine,
Mississippi,
Montana,
North Dakota,
Nebraska,
New Hampshire,
New Mexico,
Nevada,
Oklahoma,
Rhode Island,
South Dakota,
Tennessee,
Utah,
Vermont,
Washington,
Wisconsin,
West Virginia,
Wyoming,
