Category: All categories

Region,Fearless  Taylor Swift album: (2008)
Wisconsin,100
Indiana,100
Michigan,96
Ohio,94
Minnesota,91
Pennsylvania,80
Missouri,77
New Jersey,76
Georgia,72
Colorado,71
Massachusetts,69
Illinois,66
Washington,64
Alabama,61
Kentucky,60
Tennessee,54
Florida,53
New York,49
Iowa,49
Texas,49
North Carolina,47
Virginia,43
Arizona,38
Maryland,29
South Carolina,28
California,26
West Virginia,
Nebraska,
Louisiana,
Oklahoma,
Idaho,
Arkansas,
Connecticut,
Rhode Island,
New Mexico,
Maine,
Kansas,
Oregon,
Mississippi,
District of Columbia,
Alaska,
Delaware,
Hawaii,
Montana,
North Dakota,
New Hampshire,
Nevada,
South Dakota,
Utah,
Vermont,
Wyoming,
