Category: All categories

Region,Lover  Taylor Swift album: (2022)
Rhode Island,100
Idaho,52
Utah,32
Connecticut,31
Louisiana,29
Massachusetts,28
Virginia,25
Maryland,24
Pennsylvania,24
Missouri,23
New Jersey,22
Illinois,21
Nevada,21
Michigan,20
New Hampshire,20
Arkansas,20
Texas,19
Arizona,18
Minnesota,18
Indiana,18
Hawaii,18
California,18
New York,18
Kentucky,17
Georgia,17
South Carolina,17
Washington,17
Oklahoma,17
Maine,16
Alabama,16
Tennessee,15
North Carolina,15
Ohio,15
Florida,15
Wisconsin,13
Iowa,12
Oregon,10
Colorado,9
Kansas,7
Wyoming,
Delaware,
Vermont,
North Dakota,
Alaska,
West Virginia,
New Mexico,
District of Columbia,
Mississippi,
Montana,
Nebraska,
South Dakota,
