Category: All categories

Region,Fearless  Taylor Swift album: (2021)
Utah,100
Kentucky,74
Pennsylvania,73
Tennessee,72
Michigan,71
Massachusetts,69
Wisconsin,68
Ohio,67
Illinois,65
Indiana,64
Oregon,63
Georgia,58
Washington,58
Arizona,58
Virginia,57
Colorado,56
Iowa,56
Maryland,51
North Carolina,51
Florida,43
New Jersey,43
Texas,43
New York,39
Alabama,35
California,34
Minnesota,32
Missouri,29
Vermont,
South Dakota,
Hawaii,
Connecticut,
Kansas,
Idaho,
Arkansas,
Maine,
Oklahoma,
Louisiana,
Alaska,
District of Columbia,
Delaware,
Mississippi,
Montana,
North Dakota,
Nebraska,
New Hampshire,
New Mexico,
Nevada,
Rhode Island,
South Carolina,
West Virginia,
Wyoming,
