Category: All categories

Region,1989  Taylor Swift album: (2021)
Connecticut,100
Iowa,76
Kansas,67
Wisconsin,66
Ohio,61
Massachusetts,59
North Carolina,43
Kentucky,43
Oregon,41
Utah,40
Illinois,39
Michigan,39
California,36
New York,36
Maryland,36
Tennessee,35
Texas,35
Colorado,33
Arizona,33
Pennsylvania,32
Virginia,30
South Carolina,26
Indiana,25
Georgia,25
Alabama,22
Florida,21
Washington,17
Missouri,14
Rhode Island,
New Hampshire,
North Dakota,
West Virginia,
Nebraska,
Nevada,
Alaska,
Arkansas,
District of Columbia,
Delaware,
Hawaii,
Idaho,
Louisiana,
Maine,
Minnesota,
Mississippi,
Montana,
New Jersey,
New Mexico,
Oklahoma,
South Dakota,
Vermont,
Wyoming,
