Category: All categories

Region,Reputation  Taylor Swift album: (2022)
Massachusetts,100
Louisiana,94
Utah,81
Nebraska,71
Oklahoma,71
Iowa,70
Alabama,70
Ohio,67
New Jersey,65
North Carolina,61
Connecticut,60
South Carolina,60
Indiana,58
Georgia,55
Tennessee,55
Kentucky,55
Nevada,54
Pennsylvania,53
Florida,52
Michigan,51
California,50
Maryland,48
Oregon,45
Washington,44
Missouri,42
Virginia,41
Texas,41
New York,35
Illinois,34
Minnesota,34
Kansas,28
Arkansas,28
Arizona,27
Wisconsin,15
New Mexico,
Rhode Island,
Vermont,
Mississippi,
Idaho,
Hawaii,
New Hampshire,
South Dakota,
West Virginia,
Maine,
Alaska,
Colorado,
District of Columbia,
Delaware,
Montana,
North Dakota,
Wyoming,
