Category: All categories

Region,1989  Taylor Swift album: (2016)
Indiana,100
Pennsylvania,98
Michigan,94
Utah,92
Colorado,90
Kansas,82
Minnesota,81
Kentucky,76
New York,75
Massachusetts,74
California,74
New Jersey,73
Missouri,69
Tennessee,69
Texas,69
Iowa,66
Maryland,66
South Carolina,64
Louisiana,63
Virginia,57
Wisconsin,57
Connecticut,57
Illinois,56
Arizona,55
Ohio,53
Georgia,51
Florida,51
Washington,49
North Carolina,49
Oregon,41
Alabama,33
Alaska,
Montana,
Rhode Island,
Maine,
Idaho,
District of Columbia,
Nebraska,
West Virginia,
Arkansas,
Oklahoma,
Mississippi,
Nevada,
Delaware,
Hawaii,
North Dakota,
New Hampshire,
New Mexico,
South Dakota,
Vermont,
Wyoming,
