Category: All categories

Region,Midnights  Taylor Swift album: (2022)
Utah,100
Kansas,100
Massachusetts,100
Oregon,95
Connecticut,94
New Hampshire,93
Virginia,91
Pennsylvania,88
Colorado,88
Louisiana,87
Kentucky,84
Alabama,82
Ohio,77
District of Columbia,76
Nebraska,75
Missouri,73
Tennessee,72
Iowa,72
Illinois,71
Washington,69
New York,69
Indiana,67
North Carolina,63
Arkansas,62
California,61
Maryland,58
Texas,58
South Carolina,57
Michigan,57
Georgia,56
Nevada,55
Minnesota,53
Idaho,53
New Jersey,52
Wisconsin,48
Arizona,41
Florida,39
Oklahoma,21
Delaware,
Rhode Island,
Wyoming,
South Dakota,
Vermont,
Alaska,
Mississippi,
North Dakota,
New Mexico,
Hawaii,
Maine,
Montana,
West Virginia,
