Category: All categories

Region,Fearless  Taylor Swift album: (2015)
Iowa,100
Massachusetts,94
Washington,89
Missouri,77
Tennessee,77
Alabama,73
Arizona,70
Wisconsin,67
Colorado,67
Illinois,64
Minnesota,61
Ohio,58
South Carolina,58
Virginia,56
Pennsylvania,55
California,54
Florida,52
Indiana,49
New York,48
Texas,45
Oregon,44
New Jersey,43
Georgia,41
Maryland,31
Michigan,27
North Carolina,27
Kentucky,26
South Dakota,
Rhode Island,
Vermont,
Nebraska,
Hawaii,
Maine,
Arkansas,
West Virginia,
Louisiana,
Connecticut,
Oklahoma,
Nevada,
Alaska,
District of Columbia,
Delaware,
Idaho,
Kansas,
Mississippi,
Montana,
North Dakota,
New Hampshire,
New Mexico,
Utah,
Wyoming,
