Category: All categories

Region,Speak Now  Taylor Swift album: (2013)
Kentucky,100
Indiana,85
Missouri,62
Ohio,57
Georgia,55
Colorado,53
Pennsylvania,51
South Carolina,51
Wisconsin,50
Massachusetts,50
Texas,45
Minnesota,42
California,40
New Jersey,40
Michigan,40
New York,38
Florida,36
Virginia,33
Washington,32
North Carolina,30
Illinois,30
Maryland,29
Tennessee,28
Delaware,
Vermont,
New Hampshire,
Iowa,
Nevada,
Kansas,
Nebraska,
Arizona,
Utah,
Mississippi,
Louisiana,
Connecticut,
Oregon,
Alabama,
Alaska,
Arkansas,
District of Columbia,
Hawaii,
Idaho,
Maine,
Montana,
North Dakota,
New Mexico,
Oklahoma,
Rhode Island,
South Dakota,
West Virginia,
Wyoming,
