Category: All categories

Region,1989  Taylor Swift album: (2023)
Kentucky,100
Utah,100
Missouri,94
New Jersey,93
Massachusetts,89
Iowa,89
Connecticut,87
Pennsylvania,84
Ohio,83
Wisconsin,82
Michigan,82
Illinois,77
Minnesota,77
Tennessee,76
Indiana,73
Colorado,71
South Carolina,68
North Carolina,64
California,64
Texas,63
Georgia,63
Kansas,60
New York,59
Washington,58
Virginia,57
Alabama,57
Oregon,55
Arizona,54
Maryland,54
Florida,51
Louisiana,41
West Virginia,
Nebraska,
Maine,
Oklahoma,
Arkansas,
Rhode Island,
New Hampshire,
Mississippi,
Delaware,
Alaska,
North Dakota,
Wyoming,
South Dakota,
Nevada,
Hawaii,
Idaho,
Montana,
District of Columbia,
New Mexico,
Vermont,
