Category: All categories

Region,Fearless  Taylor Swift album: (2012)
Kentucky,100
South Carolina,61
Utah,55
Iowa,53
Ohio,46
Michigan,45
Indiana,45
Pennsylvania,41
New Jersey,36
Arizona,35
Oregon,35
Missouri,31
Virginia,31
California,31
Texas,31
Tennessee,30
Minnesota,29
Massachusetts,27
Florida,24
Wisconsin,23
Georgia,21
North Carolina,21
New York,21
Illinois,20
Washington,18
Colorado,16
Maryland,15
Delaware,
North Dakota,
Montana,
Kansas,
Arkansas,
Idaho,
Rhode Island,
New Mexico,
West Virginia,
Nebraska,
Mississippi,
Louisiana,
Connecticut,
Alaska,
Alabama,
District of Columbia,
Hawaii,
Maine,
New Hampshire,
Nevada,
Oklahoma,
South Dakota,
Vermont,
Wyoming,
