Category: All categories

Region,Red  Taylor Swift album: (2021)
Maine,100
Massachusetts,88
Indiana,80
District of Columbia,77
Utah,67
Kentucky,64
Pennsylvania,60
Rhode Island,60
Tennessee,59
Missouri,58
Ohio,54
Wisconsin,54
New Hampshire,53
Illinois,53
Georgia,52
Alabama,52
Mississippi,50
Arkansas,50
Washington,49
Maryland,49
Colorado,47
North Carolina,46
Michigan,46
Nebraska,46
California,45
Virginia,45
New York,45
Idaho,44
Minnesota,43
Arizona,41
Texas,41
South Carolina,41
Connecticut,40
Nevada,40
New Jersey,34
Louisiana,32
Oklahoma,32
Oregon,30
Florida,29
Kansas,27
Iowa,20
South Dakota,
Alaska,
North Dakota,
West Virginia,
Delaware,
New Mexico,
Hawaii,
Montana,
Vermont,
Wyoming,
