Category: All categories

Region,1989  Taylor Swift album: (2017)
Connecticut,100
Tennessee,70
Indiana,61
Missouri,56
Pennsylvania,56
Louisiana,50
Ohio,47
New York,46
Kentucky,46
Alabama,45
Washington,44
Massachusetts,43
Colorado,42
Maryland,42
South Carolina,41
California,41
North Carolina,38
Texas,38
New Jersey,38
Georgia,36
Oregon,34
Wisconsin,32
Michigan,31
Florida,30
Kansas,26
Illinois,24
Minnesota,21
Virginia,16
Arizona,9
Alaska,
Vermont,
New Hampshire,
Rhode Island,
Nebraska,
Maine,
District of Columbia,
Mississippi,
Oklahoma,
Nevada,
Arkansas,
Delaware,
Hawaii,
Iowa,
Idaho,
Montana,
North Dakota,
New Mexico,
South Dakota,
Utah,
West Virginia,
Wyoming,
