Category: All categories

Region,Folklore  Taylor Swift album: (2022)
Louisiana,100
Connecticut,93
North Carolina,89
Massachusetts,87
South Carolina,81
Indiana,79
Wisconsin,78
Illinois,74
Washington,73
Pennsylvania,71
Minnesota,68
Ohio,68
New Jersey,64
Kentucky,61
Texas,60
Maryland,60
Missouri,59
New York,56
California,52
Arizona,50
Michigan,47
Florida,46
Virginia,44
Georgia,40
Colorado,39
Tennessee,32
Montana,
Wyoming,
District of Columbia,
Nebraska,
New Hampshire,
Utah,
Iowa,
Delaware,
Hawaii,
Alabama,
Rhode Island,
Mississippi,
Idaho,
Oklahoma,
West Virginia,
Nevada,
Alaska,
Arkansas,
Kansas,
Maine,
North Dakota,
New Mexico,
Oregon,
South Dakota,
Vermont,
