Category: All categories

Region,Speak Now  Taylor Swift album: (2019)
Kentucky,100
Missouri,66
Massachusetts,36
Tennessee,30
Colorado,29
Ohio,24
Illinois,23
South Carolina,20
Pennsylvania,19
Washington,17
California,16
Virginia,15
Indiana,15
North Carolina,12
New Jersey,12
New York,12
Texas,11
Michigan,11
Georgia,8
Florida,6
North Dakota,
Wyoming,
Nebraska,
West Virginia,
Rhode Island,
Alaska,
Alabama,
Arkansas,
Arizona,
Connecticut,
District of Columbia,
Delaware,
Hawaii,
Iowa,
Idaho,
Kansas,
Louisiana,
Maryland,
Maine,
Minnesota,
Mississippi,
Montana,
New Hampshire,
New Mexico,
Nevada,
Oklahoma,
Oregon,
South Dakota,
Utah,
Vermont,
Wisconsin,
