Category: All categories

Region,Red  Taylor Swift album: (2019)
District of Columbia,100
Iowa,76
Rhode Island,65
Idaho,62
Missouri,54
Louisiana,53
Connecticut,40
South Carolina,39
Maryland,39
Wisconsin,38
Massachusetts,36
Kansas,36
Minnesota,35
Utah,34
Pennsylvania,33
Nebraska,33
Colorado,33
Virginia,32
Illinois,32
California,30
Ohio,29
Mississippi,29
Alabama,28
Kentucky,28
Washington,28
Georgia,26
North Carolina,26
New York,26
Oklahoma,26
Michigan,25
Texas,25
Indiana,22
Florida,22
Arkansas,21
Oregon,20
New Jersey,19
Tennessee,16
Arizona,10
Delaware,
Montana,
Alaska,
Hawaii,
Maine,
North Dakota,
New Hampshire,
New Mexico,
Nevada,
South Dakota,
Vermont,
West Virginia,
Wyoming,
