Category: All categories

Region,Speak Now  Taylor Swift album: (2015)
South Carolina,100
Missouri,60
Wisconsin,54
Pennsylvania,43
New Jersey,42
Maryland,39
Minnesota,31
Tennessee,31
Indiana,31
Illinois,30
Washington,29
Michigan,27
California,27
Florida,23
Ohio,22
Colorado,20
New York,18
North Carolina,17
Georgia,16
Kentucky,16
Texas,14
Virginia,11
Massachusetts,8
Arkansas,
Rhode Island,
Idaho,
South Dakota,
West Virginia,
Nebraska,
Iowa,
Alabama,
Connecticut,
Louisiana,
District of Columbia,
Kansas,
Arizona,
Oklahoma,
Oregon,
Alaska,
Delaware,
Hawaii,
Maine,
Mississippi,
Montana,
North Dakota,
New Hampshire,
New Mexico,
Nevada,
Utah,
Vermont,
Wyoming,
